sudo alp ltsv --file=/var/log/nginx/access.log --sort sum --reverse -o count,method,uri,min,max,sum,avg,p99,1xx,2xx,3xx,4xx,5xx -m "/api/player/competition/[a-z0-9-]+/ranking,/api/player/player/\w+,/api/organizer/competition/[a-z0-9-]+/score,/api/organizer/competition/\w+/finish,/api/organizer/player/\w+/disqualified"
+-------+--------+-------------------------------------------------------------------------+-------+--------+---------+-------+--------+-----+-----+-----+-----+-----+
| COUNT | METHOD |                                   URI                                   |  MIN  |  MAX   |   SUM   |  AVG  |  P99   | 1XX | 2XX | 3XX | 4XX | 5XX |
|     1 | POST   | /api/organizer/competition/61a20bb1-3dea-474c-8eef-13c187cb8d4e/finish  | 0.020 |  0.020 |   0.020 | 0.020 |  0.020 |   0 |   1 |   0 |   0 |   0 |
|     1 | POST   | /api/organizer/competition/45c6a8a3-5ab8-4399-a1fc-4d44f316d08a/finish  | 0.020 |  0.020 |   0.020 | 0.020 |  0.020 |   0 |   1 |   0 |   0 |   0 |
|     1 | POST   | /api/organizer/player/18b86f05-e9dd-4c34-8bcb-148e8e095fd9/disqualified | 0.020 |  0.020 |   0.020 | 0.020 |  0.020 |   0 |   1 |   0 |   0 |   0 |
|     1 | POST   | /api/organizer/competition/3733d94e-74de-4aed-a454-4e50c1ec76ea/finish  | 0.020 |  0.020 |   0.020 | 0.020 |  0.020 |   0 |   1 |   0 |   0 |   0 |
|     1 | POST   | /api/organizer/competition/a0d955c9-3633-4e11-bf9a-d0549e00cada/finish  | 0.020 |  0.020 |   0.020 | 0.020 |  0.020 |   0 |   1 |   0 |   0 |   0 |
|     1 | POST   | /api/organizer/competition/f25f3109-cd33-427d-abc8-da822e924cf0/finish  | 0.016 |  0.016 |   0.016 | 0.016 |  0.016 |   0 |   1 |   0 |   0 |   0 |
|     1 | POST   | /api/organizer/competition/30e6fd67-5c6f-493a-887d-e7d2d9cd5706/finish  | 0.016 |  0.016 |   0.016 | 0.016 |  0.016 |   0 |   1 |   0 |   0 |   0 |
|     1 | POST   | /api/organizer/competition/3bd3f5fa-139c-45a4-ac9d-db7ed7899fc8/finish  | 0.016 |  0.016 |   0.016 | 0.016 |  0.016 |   0 |   1 |   0 |   0 |   0 |
|     1 | POST   | /api/organizer/competition/c0f3ab72-bff8-43e5-8ed7-d402ef161057/finish  | 0.016 |  0.016 |   0.016 | 0.016 |  0.016 |   0 |   1 |   0 |   0 |   0 |
|     1 | POST   | /api/organizer/competition/fcb72c9b-57f3-4161-8bd3-f2f983610d5d/finish  | 0.016 |  0.016 |   0.016 | 0.016 |  0.016 |   0 |   1 |   0 |   0 |   0 |
|     4 | GET    | /api/me                                                                 | 0.004 |  0.004 |   0.016 | 0.004 |  0.004 |   0 |   4 |   0 |   0 |   0 |
|     1 | POST   | /api/organizer/competition/8bd5fb1c-116c-4bc3-9e06-ce24c8c6a49b/finish  | 0.016 |  0.016 |   0.016 | 0.016 |  0.016 |   0 |   1 |   0 |   0 |   0 |
|     1 | POST   | /api/organizer/competition/b1832786-7892-4d5a-88b5-d949fc57a3eb/finish  | 0.012 |  0.012 |   0.012 | 0.012 |  0.012 |   0 |   1 |   0 |   0 |   0 |
|     1 | POST   | /api/organizer/competition/a6e34ec1-44db-4de1-9d62-5f1f30f6f738/finish  | 0.012 |  0.012 |   0.012 | 0.012 |  0.012 |   0 |   1 |   0 |   0 |   0 |
|     1 | POST   | /api/organizer/competition/952dd3a2-3617-423f-9d99-1defb57f596e/finish  | 0.012 |  0.012 |   0.012 | 0.012 |  0.012 |   0 |   1 |   0 |   0 |   0 |
|     1 | POST   | /api/organizer/competition/e5051d07-3eb3-489a-92e3-b41eede3e97c/finish  | 0.012 |  0.012 |   0.012 | 0.012 |  0.012 |   0 |   1 |   0 |   0 |   0 |
|     1 | POST   | /api/organizer/competition/b75876b1-4cdd-4fa3-a05c-ce475c54264f/finish  | 0.012 |  0.012 |   0.012 | 0.012 |  0.012 |   0 |   1 |   0 |   0 |   0 |
|     1 | POST   | /api/organizer/competition/f60ba1ab-d26e-454c-a76d-1b05cbc61760/finish  | 0.012 |  0.012 |   0.012 | 0.012 |  0.012 |   0 |   1 |   0 |   0 |   0 |
|     1 | POST   | /api/organizer/competition/cf6f64b7-c4e3-45bc-8816-844780f1b83e/finish  | 0.008 |  0.008 |   0.008 | 0.008 |  0.008 |   0 |   1 |   0 |   0 |   0 |
|     1 | POST   | /api/organizer/competition/\w+/finish                                   | 0.004 |  0.004 |   0.004 | 0.004 |  0.004 |   0 |   0 |   0 |   1 |   0 |
|     1 | GET    | /api/organizer/competitions                                             | 0.000 |  0.000 |   0.000 | 0.000 |  0.000 |   0 |   1 |   0 |   0 |   0 |
|     1 | GET    | /css/app.83b4c321.css                                                   | 0.000 |  0.000 |   0.000 | 0.000 |  0.000 |   0 |   1 |   0 |   0 |   0 |
|     1 | GET    | /js/app.3a4ec98c.js                                                     | 0.000 |  0.000 |   0.000 | 0.000 |  0.000 |   0 |   1 |   0 |   0 |   0 |
|     1 | GET    | /index.html                                                             | 0.000 |  0.000 |   0.000 | 0.000 |  0.000 |   0 |   1 |   0 |   0 |   0 |
|     1 | GET    | /linear-swap-ws                                                         | 0.000 |  0.000 |   0.000 | 0.000 |  0.000 |   0 |   0 |   0 |   1 |   0 |
|     2 | GET    | /organizer/billing                                                      | 0.000 |  0.000 |   0.000 | 0.000 |  0.000 |   0 |   0 |   2 |   0 |   0 |
+-------+--------+-------------------------------------------------------------------------+-------+--------+---------+-------+--------+-----+-----+-----+-----+-----+
